#0: p value, 1: 1st Root, 2: 2nd Root, 3: 3rd Root
0.00E+00,1.18E+02,5.91E-02,4.84E-02
1.00E-01,1.18E+02,5.91E-02,4.83E-02
2.00E-01,1.18E+02,5.91E-02,4.83E-02
3.00E-01,1.18E+02,5.91E-02,4.83E-02
4.00E-01,1.18E+02,5.91E-02,4.83E-02
5.00E-01,1.18E+02,5.90E-02,4.83E-02
6.00E-01,1.18E+02,5.90E-02,4.83E-02
7.00E-01,1.18E+02,5.90E-02,4.83E-02
8.00E-01,1.18E+02,5.90E-02,4.83E-02
9.00E-01,1.18E+02,5.90E-02,4.83E-02
1.00E+00,1.18E+02,5.90E-02,4.83E-02
,,,
,1.18E+02,5.90E-02,4.83E-02
,2.16732E-05,4.83082E-05,3.05767E-05
